Date,Prices,,,,,,,,,,,,,
25-07-2015,4100,,,,,,,,,,,,,
26-07-2015,4200,,,,,,,,,,,,,
27-07-2015,4150,,,,,,,,,,,,,
28-07-2015,4150,,,,,,,,,,,,,
29-07-2015,4100,,,,,,,,,,,,,
30-07-2015,4100,,,,,,,,,,,,,
31-07-2015,4200,,,,,,,,,,,,,
01-08-2015,4150,,,,,,,,,,,,,
02-08-2015,3950,,,,,,,,,,,,,
03-08-2015,4100,,,,,,,,,,,,,
04-08-2015,3950,,,,,,,,,,,,,
05-08-2015,4000,,,,,,,,,,,,,
06-08-2015,4200,,,,,,,,,,,,,
07-08-2015,4200,,,,,,,,,,,,,
08-08-2015,4200,,,,,,,,,,,,,
09-08-2015,4150,,,,,,,,,,,,,
10-08-2015,4150,,,,,,,,,,,,,
11-08-2015,4400,,,,,,,,,,,,,
12-08-2015,4300,,,,,,,,,,,,,
13-08-2015,4200,,,,,,,,,,,,,
14-08-2015,4250,,,,,,,,,,,,,
15-08-2015,4200,,,,,,,,,,,,,
16-08-2015,4200,,,,,,,,,,,,,
17-08-2015,4200,,,,,,,,,,,,,
18-08-2015,4050,,,,,,,,,,,,,
19-08-2015,4100,,,,,,,,,,,,,
20-08-2015,4100,,,,,,,,,,,,,
21-08-2015,4250,,,,,,,,,,,,,
22-08-2015,4250,,,,,,,,,,,,,
23-08-2015,4200,,,,,,,,,,,,,
24-08-2015,4250,,,,,,,,,,,,,
25-08-2015,4150,,,,,,,,,,,,,
26-08-2015,4200,,,,,,,,,,,,,
27-08-2015,4200,,,,,,,,,,,,,
28-08-2015,4200,,,,,,,,,,,,,
29-08-2015,4050,,,,,,,,,,,,,
30-08-2015,4045,,,,,,,,,,,,,
31-08-2015,4060,,,,,,,,,,,,,
01-09-2015,4015,,,,,,,,,,,,,
02-09-2015,4050,,,,,,,,,,,,,
03-09-2015,4000,,,,,,,,,,,,,
04-09-2015,4010,,,,,,,,,,,,,
05-09-2015,4000,,,,,,,,,,,,,
06-09-2015,4000,,,,,,,,,,,,,
07-09-2015,4000,,,,,,,,,,,,,
08-09-2015,4000,,,,,,,,,,,,,
09-09-2015,4010,,,,,,,,,,,,,
10-09-2015,4000,,,,,,,,,,,,,
11-09-2015,4000,,,,,,,,,,,,,
12-09-2015,4000,,,,,,,,,,,,,
13-09-2015,4000,,,,,,,,,,,,,
14-09-2015,4000,,,,,,,,,,,,,
15-09-2015,4000,,,,,,,,,,,,,
16-09-2015,4000,,,,,,,,,,,,,
17-09-2015,4000,,,,,,,,,,,,,
18-09-2015,4000,,,,,,,,,,,,,
19-09-2015,4000,,,,,,,,,,,,,
20-09-2015,4000,,,,,,,,,,,,,
21-09-2015,4000,,,,,,,,,,,,,
22-09-2015,4000,,,,,,,,,,,,,
23-09-2015,4000,,,,,,,,,,,,,
24-09-2015,4000,,,,,,,,,,,,,
25-09-2015,4000,,,,,,,,,,,,,
26-09-2015,4000,,,,,,,,,,,,,
27-09-2015,4000,,,,,,,,,,,,,
28-09-2015,4000,,,,,,,,,,,,,
29-09-2015,4000,,,,,,,,,,,,,
30-09-2015,4000,,,,,,,,,,,,,
01-10-2015,4000,,,,,,,,,,,,,
02-10-2015,4000,,,,,,,,,,,,,
03-10-2015,4000,,,,,,,,,,,,,
04-10-2015,4000,,,,,,,,,,,,,
05-10-2015,4000,,,,,,,,,,,,,
06-10-2015,4000,,,,,,,,,,,,,
07-10-2015,4000,,,,,,,,,,,,,
08-10-2015,4000,,,,,,,,,,,,,
09-10-2015,3950,,,,,,,,,,,,,
10-10-2015,4000,,,,,,,,,,,,,
11-10-2015,4000,,,,,,,,,,,,,
12-10-2015,3990,,,,,,,,,,,,,
13-10-2015,4000,,,,,,,,,,,,,
14-10-2015,4000,,,,,,,,,,,,,
